Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Pittsburgh SteelersPittsburgh,16,227,14.2,1597,99.8,2751,171.9,4348,271.8,2011,True
Houston TexansHouston,16,278,17.4,1536,96.0,3035,189.7,4571,285.7,2011,True
Baltimore RavensBaltimore,16,266,16.6,1482,92.6,3140,196.2,4622,288.9,2011,True
San Francisco 49ersSan Francisco,16,229,14.3,1236,77.2,3695,230.9,4931,308.2,2011,True
New York JetsNY Jets,16,363,22.7,1777,111.1,3216,201.0,4993,312.1,2011,False
Jacksonville JaguarsJacksonville,16,329,20.6,1667,104.2,3341,208.8,5008,313.0,2011,False
Cincinnati BengalsCincinnati,16,323,20.2,1675,104.7,3385,211.6,5060,316.2,2011,True
Philadelphia EaglesPhiladelphia,16,328,20.5,1801,112.6,3397,212.3,5198,324.9,2011,False
Seattle SeahawksSeattle,16,315,19.7,1797,112.3,3518,219.9,5315,332.2,2011,False
Cleveland BrownsCleveland,16,307,19.2,2359,147.4,2959,184.9,5318,332.4,2011,False
Kansas City ChiefsKansas City,16,338,21.1,2112,132.0,3221,201.3,5333,333.3,2011,False
Atlanta FalconsAtlanta,16,350,21.9,1552,97.0,3786,236.6,5338,333.6,2011,True
Washington RedskinsWashington,16,367,22.9,1884,117.8,3553,222.1,5437,339.8,2011,False
Dallas CowboysDallas,16,347,21.7,1585,99.1,3906,244.1,5491,343.2,2011,False
Miami DolphinsMiami,16,313,19.6,1530,95.6,3992,249.5,5522,345.1,2011,False
San Diego ChargersSan Diego,16,377,23.6,1955,122.2,3591,224.4,5546,346.6,2011,False
Chicago BearsChicago,16,341,21.3,1542,96.4,4065,254.1,5607,350.4,2011,False
Arizona CardinalsArizona,16,348,21.8,1986,124.1,3696,231.0,5682,355.1,2011,False
Tennessee TitansTennessee,16,317,19.8,2053,128.3,3629,226.8,5682,355.1,2011,False
Denver BroncosDenver,16,390,24.4,2021,126.3,3704,231.5,5725,357.8,2011,True
Minnesota VikingsMinnesota,16,449,28.1,1712,107.0,4019,251.2,5731,358.2,2011,False
St. Louis RamsSt. Louis,16,407,25.4,2433,152.1,3301,206.3,5734,358.4,2011,False
Detroit LionsDetroit,16,387,24.2,2050,128.1,3831,239.4,5881,367.6,2011,True
New Orleans SaintsNew Orleans,16,339,21.2,1738,108.6,4157,259.8,5895,368.4,2011,True
Indianapolis ColtsIndianapolis,16,430,26.9,2303,143.9,3632,227.0,5935,370.9,2011,False
Buffalo BillsBuffalo,16,434,27.1,2224,139.0,3714,232.1,5938,371.1,2011,False
New York GiantsNY Giants,16,400,25.0,1940,121.2,4082,255.1,6022,376.4,2011,True
Carolina PanthersCarolina,16,429,26.8,2093,130.8,3949,246.8,6042,377.6,2011,False
Oakland RaidersOakland,16,433,27.1,2178,136.1,4023,251.4,6201,387.6,2011,False
Tampa Bay BuccaneersTampa Bay,16,494,30.9,2497,156.1,3814,238.4,6311,394.4,2011,False
New England PatriotsNew England,16,342,21.4,1874,117.1,4703,293.9,6577,411.1,2011,True
Green Bay PackersGreen Bay,16,359,22.4,1789,111.8,4796,299.8,6585,411.6,2011,True
