Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Pittsburgh SteelersPittsburgh,16,314,19.6,1450,90.6,2963,185.2,4413,275.8,2012,False
Denver BroncosDenver,16,289,18.1,1458,91.1,3194,199.6,4652,290.8,2012,True
San Francisco 49ersSan Francisco,16,273,17.1,1507,94.2,3203,200.2,4710,294.4,2012,True
Seattle SeahawksSeattle,16,245,15.3,1649,103.1,3250,203.1,4899,306.2,2012,True
Chicago BearsChicago,16,277,17.3,1627,101.7,3423,213.9,5050,315.6,2012,False
Cincinnati BengalsCincinnati,16,320,20.0,1715,107.2,3400,212.5,5115,319.7,2012,True
Houston TexansHouston,16,331,20.7,1560,97.5,3612,225.8,5172,323.2,2012,True
New York JetsNY Jets,16,375,23.4,2138,133.6,3036,189.8,5174,323.4,2012,False
San Diego ChargersSan Diego,16,350,21.9,1542,96.4,3681,230.1,5223,326.4,2012,False
Carolina PanthersCarolina,16,363,22.7,1761,110.1,3568,223.0,5329,333.1,2012,False
Green Bay PackersGreen Bay,16,336,21.0,1896,118.5,3492,218.2,5388,336.8,2012,True
Arizona CardinalsArizona,16,357,22.3,2192,137.0,3213,200.8,5405,337.8,2012,False
Detroit LionsDetroit,16,437,27.3,1889,118.1,3569,223.1,5458,341.1,2012,False
St. Louis RamsSt. Louis,16,348,21.8,1880,117.5,3602,225.1,5482,342.6,2012,False
Philadelphia EaglesPhiladelphia,16,444,27.8,2021,126.3,3470,216.9,5491,343.2,2012,False
Minnesota VikingsMinnesota,16,348,21.8,1692,105.8,3908,244.2,5600,350.0,2012,True
Baltimore RavensBaltimore,16,344,21.5,1965,122.8,3650,228.1,5615,350.9,2012,True
Oakland RaidersOakland,16,443,27.7,1897,118.6,3775,235.9,5672,354.5,2012,False
Dallas CowboysDallas,16,400,25.0,2003,125.2,3684,230.2,5687,355.4,2012,False
Kansas City ChiefsKansas City,16,425,26.6,2171,135.7,3533,220.8,5704,356.5,2012,False
Miami DolphinsMiami,16,317,19.8,1734,108.4,3974,248.4,5708,356.8,2012,False
Buffalo BillsBuffalo,16,435,27.2,2333,145.8,3473,217.1,5806,362.9,2012,False
Cleveland BrownsCleveland,16,368,23.0,1898,118.6,3923,245.2,5821,363.8,2012,False
Atlanta FalconsAtlanta,16,299,18.7,1971,123.2,3878,242.4,5849,365.6,2012,True
New England PatriotsNew England,16,331,20.7,1630,101.9,4342,271.4,5972,373.2,2012,True
Indianapolis ColtsIndianapolis,16,387,24.2,2200,137.5,3788,236.8,5988,374.2,2012,True
Tennessee TitansTennessee,16,471,29.4,2035,127.2,3964,247.8,5999,374.9,2012,False
Washington RedskinsWashington,16,388,24.2,1532,95.8,4511,281.9,6043,377.7,2012,True
Tampa Bay BuccaneersTampa Bay,16,394,24.6,1320,82.5,4758,297.4,6078,379.9,2012,False
Jacksonville JaguarsJacksonville,16,444,27.8,2256,141.0,3832,239.5,6088,380.5,2012,False
New York GiantsNY Giants,16,344,21.5,2066,129.1,4068,254.2,6134,383.4,2012,False
New Orleans SaintsNew Orleans,16,454,28.4,2361,147.6,4681,292.6,7042,440.1,2012,False
