Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Seattle SeahawksSeattle,16,231,14.4,1626,101.6,2752,172.0,4378,273.6,2013,True
Carolina PanthersCarolina,16,241,15.1,1391,86.9,3429,214.3,4820,301.2,2013,True
Cincinnati BengalsCincinnati,16,305,19.1,1544,96.5,3344,209.0,4888,305.5,2013,True
New Orleans SaintsNew Orleans,16,304,19.0,1786,111.6,3105,194.1,4891,305.7,2013,True
San Francisco 49ersSan Francisco,16,272,17.0,1535,95.9,3536,221.0,5071,316.9,2013,True
Arizona CardinalsArizona,16,324,20.2,1351,84.4,3728,233.0,5079,317.4,2013,False
Houston TexansHouston,16,428,26.8,1958,122.4,3123,195.2,5081,317.6,2013,False
New York GiantsNY Giants,16,383,23.9,1743,108.9,3573,223.3,5316,332.2,2013,False
Cleveland BrownsCleveland,16,406,25.4,1781,111.3,3538,221.1,5319,332.4,2013,False
Buffalo BillsBuffalo,16,388,24.2,2063,128.9,3271,204.4,5334,333.4,2013,False
New York JetsNY Jets,16,387,24.2,1412,88.2,3947,246.7,5359,334.9,2013,False
Baltimore RavensBaltimore,16,352,22.0,1687,105.4,3681,230.1,5368,335.5,2013,False
Pittsburgh SteelersPittsburgh,16,370,23.1,1849,115.6,3553,222.1,5402,337.6,2013,False
Tennessee TitansTennessee,16,381,23.8,1795,112.2,3612,225.8,5407,337.9,2013,False
St. Louis RamsSt. Louis,16,364,22.8,1646,102.9,3874,242.1,5520,345.0,2013,False
Detroit LionsDetroit,16,376,23.5,1596,99.8,3950,246.9,5546,346.6,2013,False
Tampa Bay BuccaneersTampa Bay,16,389,24.3,1762,110.1,3806,237.9,5568,348.0,2013,False
Washington RedskinsWashington,16,478,29.9,1769,110.6,3896,243.5,5665,354.1,2013,False
Denver BroncosDenver,16,399,24.9,1626,101.6,4070,254.4,5696,356.0,2013,True
Indianapolis ColtsIndianapolis,16,336,21.0,2002,125.1,3711,231.9,5713,357.1,2013,True
Miami DolphinsMiami,16,335,20.9,1998,124.9,3752,234.5,5750,359.4,2013,False
Oakland RaidersOakland,16,453,28.3,1727,107.9,4092,255.8,5819,363.7,2013,False
San Diego ChargersSan Diego,16,348,21.8,1725,107.8,4139,258.7,5864,366.5,2013,True
Kansas City ChiefsKansas City,16,305,19.1,1923,120.2,3962,247.6,5885,367.8,2013,True
Green Bay PackersGreen Bay,16,428,26.8,2000,125.0,3956,247.2,5956,372.2,2013,True
New England PatriotsNew England,16,338,21.1,2145,134.1,3824,239.0,5969,373.1,2013,True
Atlanta FalconsAtlanta,16,443,27.7,2173,135.8,3897,243.6,6070,379.4,2013,False
Jacksonville JaguarsJacksonville,16,449,28.1,2108,131.8,3962,247.6,6070,379.4,2013,False
Philadelphia EaglesPhiladelphia,16,382,23.9,1668,104.2,4636,289.8,6304,394.0,2013,True
Chicago BearsChicago,16,478,29.9,2583,161.4,3730,233.1,6313,394.6,2013,False
Minnesota VikingsMinnesota,16,480,30.0,1767,110.4,4595,287.2,6362,397.6,2013,False
Dallas CowboysDallas,16,432,27.0,2056,128.5,4589,286.8,6645,415.3,2013,False
