Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
San Diego ChargersSan Diego,16,441,27.6,1810,113.1,4519,282.4,6329,395.6,2010
Philadelphia EaglesPhiladelphia,16,439,27.4,2324,145.2,3906,244.1,6230,389.4,2010
Houston TexansHouston,16,390,24.4,2042,127.6,4144,259.0,6186,386.6,2010
Indianapolis ColtsIndianapolis,16,435,27.2,1483,92.7,4609,288.1,6092,380.8,2010
New York GiantsNY Giants,16,394,24.6,2200,137.5,3885,242.8,6085,380.3,2010
New Orleans SaintsNew Orleans,16,384,24.0,1519,94.9,4441,277.6,5960,372.5,2010
Dallas CowboysDallas,16,394,24.6,1786,111.6,4042,252.6,5828,364.2,2010
New England PatriotsNew England,16,518,32.4,1973,123.3,3847,240.4,5820,363.8,2010
Green Bay PackersGreen Bay,16,388,24.2,1606,100.4,4124,257.8,5730,358.1,2010
Oakland RaidersOakland,16,410,25.6,2494,155.9,3180,198.8,5674,354.6,2010
New York JetsNY Jets,16,367,22.9,2374,148.4,3242,202.6,5616,351.0,2010
Kansas City ChiefsKansas City,16,366,22.9,2627,164.2,2968,185.5,5595,349.7,2010
Denver BroncosDenver,16,344,21.5,1544,96.5,4038,252.4,5582,348.9,2010
Pittsburgh SteelersPittsburgh,16,375,23.4,1924,120.2,3601,225.1,5525,345.3,2010
Jacksonville JaguarsJacksonville,16,353,22.1,2395,149.7,3065,191.6,5460,341.2,2010
Atlanta FalconsAtlanta,16,414,25.9,1891,118.2,3567,222.9,5458,341.1,2010
Detroit LionsDetroit,16,362,22.6,1613,100.8,3810,238.1,5423,338.9,2010
Washington RedskinsWashington,16,302,18.9,1461,91.3,3913,244.6,5374,335.9,2010
Tampa Bay BuccaneersTampa Bay,16,341,21.3,2001,125.1,3361,210.1,5362,335.1,2010
Cincinnati BengalsCincinnati,16,322,20.1,1522,95.1,3767,235.4,5289,330.6,2010
Miami DolphinsMiami,16,273,17.1,1643,102.7,3527,220.4,5170,323.1,2010
Baltimore RavensBaltimore,16,357,22.3,1831,114.4,3335,208.4,5166,322.9,2010
Minnesota VikingsMinnesota,16,281,17.6,1942,121.4,3097,193.6,5039,314.9,2010
San Francisco 49ersSan Francisco,16,305,19.1,1657,103.6,3356,209.8,5013,313.3,2010
Buffalo BillsBuffalo,16,283,17.7,1720,107.5,3158,197.4,4878,304.9,2010
St. Louis RamsSt. Louis,16,289,18.1,1578,98.6,3268,204.2,4846,302.9,2010
Tennessee TitansTennessee,16,356,22.2,1727,107.9,3107,194.2,4834,302.1,2010
Seattle SeahawksSeattle,16,310,19.4,1424,89.0,3341,208.8,4765,297.8,2010
Cleveland BrownsCleveland,16,271,16.9,1646,102.9,2989,186.8,4635,289.7,2010
Chicago BearsChicago,16,334,20.9,1616,101.0,3015,188.4,4631,289.4,2010
Arizona CardinalsArizona,16,289,18.1,1388,86.8,2921,182.6,4309,269.3,2010
Carolina PanthersCarolina,16,196,12.2,1846,115.4,2289,143.1,4135,258.4,2010
