Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Denver BroncosDenver,16,296,18.5,1337,83.6,3193,199.6,4530,283.1,2015,True
Seattle SeahawksSeattle,16,277,17.3,1304,81.5,3364,210.2,4668,291.8,2015,True
Houston TexansHouston,16,313,19.6,1597,99.8,3366,210.4,4963,310.2,2015,True
New York JetsNY Jets,16,314,19.6,1335,83.4,3763,235.2,5098,318.6,2015,False
Arizona CardinalsArizona,16,313,19.6,1460,91.2,3687,230.4,5147,321.7,2015,True
Carolina PanthersCarolina,16,308,19.2,1415,88.4,3752,234.5,5167,322.9,2015,True
Kansas City ChiefsKansas City,16,287,17.9,1571,98.2,3698,231.1,5269,329.3,2015,True
Baltimore RavensBaltimore,16,401,25.1,1661,103.8,3737,233.6,5398,337.4,2015,False
New England PatriotsNew England,16,315,19.7,1580,98.8,3851,240.7,5431,339.4,2015,True
Tampa Bay BuccaneersTampa Bay,16,417,26.1,1606,100.4,3840,240.0,5446,340.4,2015,False
Cincinnati BengalsCincinnati,16,279,17.4,1477,92.3,3976,248.5,5453,340.8,2015,True
Tennessee TitansTennessee,16,423,26.4,1797,112.3,3678,229.9,5475,342.2,2015,False
Minnesota VikingsMinnesota,16,302,18.9,1748,109.2,3759,234.9,5507,344.2,2015,True
Chicago BearsChicago,16,397,24.8,1934,120.9,3593,224.6,5527,345.4,2015,False
Green Bay PackersGreen Bay,16,323,20.2,1905,119.1,3642,227.6,5547,346.7,2015,True
Atlanta FalconsAtlanta,16,345,21.6,1680,105.0,3882,242.6,5562,347.6,2015,False
Dallas CowboysDallas,16,374,23.4,1934,120.9,3632,227.0,5566,347.9,2015,False
Detroit LionsDetroit,16,400,25.0,1808,113.0,3786,236.6,5594,349.6,2015,False
Buffalo BillsBuffalo,16,359,22.4,1730,108.1,3972,248.2,5702,356.4,2015,False
San Diego ChargersSan Diego,16,398,24.9,2005,125.3,3786,236.6,5791,361.9,2015,False
Pittsburgh SteelersPittsburgh,16,319,19.9,1459,91.2,4350,271.9,5809,363.1,2015,True
Oakland RaidersOakland,16,399,24.9,1678,104.9,4140,258.8,5818,363.6,2015,False
St. Louis RamsSt. Louis,16,330,20.6,1820,113.8,4065,254.1,5885,367.8,2015,False
Jacksonville JaguarsJacksonville,16,448,28.0,1709,106.8,4291,268.2,6000,375.0,2015,False
Miami DolphinsMiami,16,389,24.3,2019,126.2,4000,250.0,6019,376.2,2015,False
Indianapolis ColtsIndianapolis,16,408,25.5,1952,122.0,4114,257.1,6066,379.1,2015,False
Cleveland BrownsCleveland,16,432,27.0,2055,128.4,4012,250.8,6067,379.2,2015,False
Washington RedskinsWashington,16,379,23.7,1962,122.6,4128,258.0,6090,380.6,2015,True
San Francisco 49ersSan Francisco,16,387,24.2,2020,126.2,4179,261.2,6199,387.4,2015,False
Philadelphia EaglesPhiladelphia,16,430,26.9,2153,134.6,4273,267.1,6426,401.6,2015,False
New Orleans SaintsNew Orleans,16,476,29.8,2071,129.4,4544,284.0,6615,413.4,2015,False
New York GiantsNY Giants,16,442,27.6,1942,121.4,4783,298.9,6725,420.3,2015,False
