Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
New York JetsNY Jets,16,236,14.8,1578,98.6,2459,153.7,4037,252.3,2009,False
Green Bay PackersGreen Bay,16,297,18.6,1333,83.3,3218,201.1,4551,284.4,2009,True
Baltimore RavensBaltimore,16,261,16.3,1492,93.2,3316,207.2,4808,300.5,2009,True
Cincinnati BengalsCincinnati,16,291,18.2,1573,98.3,3249,203.1,4822,301.4,2009,True
Pittsburgh SteelersPittsburgh,16,324,20.2,1438,89.9,3447,215.4,4885,305.3,2009,True
Minnesota VikingsMinnesota,16,312,19.5,1394,87.1,3494,218.4,4888,305.5,2009,False
Denver BroncosDenver,16,324,20.2,2059,128.7,2981,186.3,5040,315.0,2009,False
Carolina PanthersCarolina,16,308,19.2,1997,124.8,3056,191.0,5053,315.8,2009,False
Dallas CowboysDallas,16,250,15.6,1448,90.5,3606,225.4,5054,315.9,2009,True
Washington RedskinsWashington,16,336,21.0,1799,112.4,3316,207.2,5115,319.7,2009,True
New England PatriotsNew England,16,285,17.8,1768,110.5,3355,209.7,5123,320.2,2009,False
Philadelphia EaglesPhiladelphia,16,337,21.1,1675,104.7,3462,216.4,5137,321.1,2009,True
Houston TexansHouston,16,333,20.8,1711,106.9,3487,217.9,5198,324.9,2009,False
New York GiantsNY Giants,16,427,26.7,1773,110.8,3425,214.1,5198,324.9,2009,True
San Francisco 49ersSan Francisco,16,281,17.6,1552,97.0,3670,229.4,5222,326.4,2009,False
San Diego ChargersSan Diego,16,320,20.0,1884,117.8,3348,209.2,5232,327.0,2009,True
Chicago BearsChicago,16,375,23.4,2022,126.4,3382,211.4,5404,337.8,2009,False
Indianapolis ColtsIndianapolis,16,307,19.2,2024,126.5,3403,212.7,5427,339.2,2009,False
Buffalo BillsBuffalo,16,326,20.4,2501,156.3,2948,184.2,5449,340.6,2009,False
Arizona CardinalsArizona,16,325,20.3,1804,112.8,3739,233.7,5543,346.4,2009,True
Atlanta FalconsAtlanta,16,325,20.3,1711,106.9,3871,241.9,5582,348.9,2009,False
Miami DolphinsMiami,16,390,24.4,1835,114.7,3754,234.6,5589,349.3,2009,False
Jacksonville JaguarsJacksonville,16,380,23.8,1863,116.4,3774,235.9,5637,352.3,2009,False
Seattle SeahawksSeattle,16,390,24.4,1776,111.0,3927,245.4,5703,356.4,2009,False
New Orleans SaintsNew Orleans,16,341,21.3,1955,122.2,3769,235.6,5724,357.8,2009,True
Oakland RaidersOakland,16,379,23.7,2488,155.5,3303,206.4,5791,361.9,2009,False
Tampa Bay BuccaneersTampa Bay,16,400,25.0,2531,158.2,3318,207.4,5849,365.6,2009,True
Tennessee TitansTennessee,16,402,25.1,1711,106.9,4139,258.7,5850,365.6,2009,False
St. Louis RamsSt. Louis,16,436,27.2,2201,137.6,3764,235.2,5965,372.8,2009,False
Kansas City ChiefsKansas City,16,424,26.5,2504,156.5,3707,231.7,6211,388.2,2009,False
Cleveland BrownsCleveland,16,375,23.4,2314,144.6,3915,244.7,6229,389.3,2009,False
Detroit LionsDetroit,16,494,30.9,2025,126.6,4249,265.6,6274,392.1,2009,False
