Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
New Orleans SaintsNew Orleans,16,510,31.9,2106,131.6,4355,272.2,6461,403.8,2009
Dallas CowboysDallas,16,361,22.6,2103,131.4,4287,267.9,6390,399.4,2009
New England PatriotsNew England,16,427,26.7,1921,120.1,4436,277.2,6357,397.3,2009
Houston TexansHouston,16,388,24.2,1475,92.2,4654,290.9,6129,383.1,2009
Minnesota VikingsMinnesota,16,470,29.4,1918,119.9,4156,259.8,6074,379.6,2009
Green Bay PackersGreen Bay,16,461,28.8,1885,117.8,4180,261.2,6065,379.1,2009
Pittsburgh SteelersPittsburgh,16,368,23.0,1793,112.1,4148,259.2,5941,371.3,2009
New York GiantsNY Giants,16,402,25.1,1837,114.8,4019,251.2,5856,366.0,2009
Indianapolis ColtsIndianapolis,16,416,26.0,1294,80.9,4515,282.2,5809,363.1,2009
San Diego ChargersSan Diego,16,454,28.4,1423,88.9,4338,271.1,5761,360.1,2009
Philadelphia EaglesPhiladelphia,16,429,26.8,1637,102.3,4089,255.6,5726,357.9,2009
Tennessee TitansTennessee,16,354,22.1,2592,162.0,3031,189.4,5623,351.4,2009
Baltimore RavensBaltimore,16,391,24.4,2200,137.5,3419,213.7,5619,351.2,2009
Arizona CardinalsArizona,16,375,23.4,1494,93.4,4016,251.0,5510,344.4,2009
Denver BroncosDenver,16,326,20.4,1836,114.8,3627,226.7,5463,341.4,2009
Atlanta FalconsAtlanta,16,363,22.7,1876,117.2,3571,223.2,5447,340.4,2009
Miami DolphinsMiami,16,360,22.5,2231,139.4,3170,198.1,5401,337.6,2009
Jacksonville JaguarsJacksonville,16,290,18.1,2029,126.8,3356,209.8,5385,336.6,2009
Carolina PanthersCarolina,16,315,19.7,2498,156.1,2799,174.9,5297,331.1,2009
New York JetsNY Jets,16,348,21.8,2756,172.2,2380,148.8,5136,321.0,2009
Seattle SeahawksSeattle,16,280,17.5,1566,97.9,3503,218.9,5069,316.8,2009
Washington RedskinsWashington,16,266,16.6,1510,94.4,3490,218.1,5000,312.5,2009
Chicago BearsChicago,16,327,20.4,1492,93.2,3473,217.1,4965,310.3,2009
Cincinnati BengalsCincinnati,16,305,19.1,2056,128.5,2890,180.6,4946,309.1,2009
Kansas City ChiefsKansas City,16,294,18.4,1929,120.6,2922,182.6,4851,303.2,2009
Detroit LionsDetroit,16,262,16.4,1616,101.0,3168,198.0,4784,299.0,2009
San Francisco 49ersSan Francisco,16,330,20.6,1600,100.0,3052,190.8,4652,290.8,2009
Tampa Bay BuccaneersTampa Bay,16,244,15.2,1627,101.7,2973,185.8,4600,287.5,2009
St. Louis RamsSt. Louis,16,175,10.9,1784,111.5,2686,167.9,4470,279.4,2009
Buffalo BillsBuffalo,16,258,16.1,1867,116.7,2515,157.2,4382,273.9,2009
Oakland RaidersOakland,16,197,12.3,1701,106.3,2557,159.8,4258,266.1,2009
Cleveland BrownsCleveland,16,245,15.3,2087,130.4,2076,129.8,4163,260.2,2009
