Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
New England PatriotsNew England,16,458,28.6,1889,118.1,4418,276.1,6307,394.2,2017
New Orleans SaintsNew Orleans,16,448,28.0,2070,129.4,4189,261.8,6259,391.2,2017
Pittsburgh SteelersPittsburgh,16,406,25.4,1667,104.2,4380,273.8,6047,377.9,2017
Los Angeles ChargersLA Chargers,16,355,22.2,1595,99.7,4431,276.9,6026,376.6,2017
Kansas City ChiefsKansas City,16,415,25.9,1903,118.9,4104,256.5,6007,375.4,2017
Jacksonville JaguarsJacksonville,16,417,26.1,2262,141.4,3593,224.6,5855,365.9,2017
Philadelphia EaglesPhiladelphia,16,457,28.6,2115,132.2,3737,233.6,5852,365.8,2017
Atlanta FalconsAtlanta,16,353,22.1,1847,115.4,3990,249.4,5837,364.8,2017
Tampa Bay BuccaneersTampa Bay,16,335,20.9,1450,90.6,4366,272.9,5816,363.5,2017
Los Angeles RamsLA Rams,16,478,29.9,1953,122.1,3831,239.4,5784,361.5,2017
Minnesota VikingsMinnesota,16,382,23.9,1957,122.3,3753,234.6,5710,356.9,2017
San Francisco 49ersSan Francisco,16,331,20.7,1662,103.9,3925,245.3,5587,349.2,2017
Detroit LionsDetroit,16,410,25.6,1221,76.3,4183,261.4,5404,337.8,2017
Dallas CowboysDallas,16,354,22.1,2170,135.6,3141,196.3,5311,331.9,2017
Seattle SeahawksSeattle,16,366,22.9,1629,101.8,3657,228.6,5286,330.4,2017
Washington RedskinsWashington,16,342,21.4,1448,90.5,3751,234.4,5199,324.9,2017
Denver BroncosDenver,16,289,18.1,1852,115.8,3333,208.3,5185,324.1,2017
Oakland RaidersOakland,16,301,18.8,1554,97.1,3631,226.9,5185,324.1,2017
Carolina PanthersCarolina,16,363,22.7,2102,131.4,3077,192.3,5179,323.7,2017
Houston TexansHouston,16,338,21.1,1842,115.1,3278,204.9,5120,320.0,2017
New York GiantsNY Giants,16,246,15.4,1549,96.8,3479,217.4,5028,314.2,2017
Arizona CardinalsArizona,16,295,18.4,1386,86.6,3640,227.5,5026,314.1,2017
Tennessee TitansTennessee,16,334,20.9,1833,114.6,3191,199.4,5024,314.0,2017
Cleveland BrownsCleveland,16,234,14.6,1714,107.1,3228,201.8,4942,308.9,2017
Miami DolphinsMiami,16,281,17.6,1388,86.8,3535,220.9,4923,307.7,2017
Green Bay PackersGreen Bay,16,320,20.0,1724,107.8,3167,197.9,4891,305.7,2017
Baltimore RavensBaltimore,16,395,24.7,1856,116.0,3030,189.4,4886,305.4,2017
New York JetsNY Jets,16,298,18.6,1702,106.4,3182,198.9,4884,305.2,2017
Buffalo BillsBuffalo,16,302,18.9,2017,126.1,2825,176.6,4842,302.6,2017
Chicago BearsChicago,16,264,16.5,1788,111.8,2811,175.7,4599,287.4,2017
Indianapolis ColtsIndianapolis,16,263,16.4,1661,103.8,2892,180.8,4553,284.6,2017
Cincinnati BengalsCincinnati,16,290,18.1,1366,85.4,3122,195.1,4488,280.5,2017
