Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
Denver BroncosDenver,16,606,37.9,1873,117.1,5444,340.2,7317,457.3,2013
Philadelphia EaglesPhiladelphia,16,442,27.6,2566,160.4,4110,256.9,6676,417.2,2013
Green Bay PackersGreen Bay,16,417,26.1,2136,133.5,4268,266.8,6404,400.2,2013
New Orleans SaintsNew Orleans,16,414,25.9,1473,92.1,4918,307.4,6391,399.4,2013
San Diego ChargersSan Diego,16,396,24.8,1965,122.8,4328,270.5,6293,393.3,2013
Detroit LionsDetroit,16,395,24.7,1792,112.0,4482,280.1,6274,392.1,2013
New England PatriotsNew England,16,444,27.8,2065,129.1,4087,255.4,6152,384.5,2013
Chicago BearsChicago,16,445,27.8,1828,114.2,4281,267.6,6109,381.8,2013
Washington RedskinsWashington,16,334,20.9,2164,135.2,3751,234.4,5915,369.7,2013
Cincinnati BengalsCincinnati,16,430,26.9,1755,109.7,4136,258.5,5891,368.2,2013
Houston TexansHouston,16,276,17.2,1743,108.9,3813,238.3,5556,347.2,2013
Arizona CardinalsArizona,16,379,23.7,1540,96.2,4002,250.1,5542,346.4,2013
Minnesota VikingsMinnesota,16,391,24.4,2081,130.1,3427,214.2,5508,344.2,2013
Atlanta FalconsAtlanta,16,353,22.1,1247,77.9,4243,265.2,5490,343.1,2013
Indianapolis ColtsIndianapolis,16,391,24.4,1743,108.9,3725,232.8,5468,341.8,2013
Dallas CowboysDallas,16,439,27.4,1504,94.0,3954,247.1,5458,341.1,2013
Cleveland BrownsCleveland,16,308,19.2,1383,86.4,4047,252.9,5430,339.4,2013
Seattle SeahawksSeattle,16,417,26.1,2188,136.8,3236,202.2,5424,339.0,2013
Buffalo BillsBuffalo,16,339,21.2,2307,144.2,3103,193.9,5410,338.1,2013
Pittsburgh SteelersPittsburgh,16,379,23.7,1383,86.4,4017,251.1,5400,337.5,2013
Kansas City ChiefsKansas City,16,430,26.9,2056,128.5,3340,208.8,5396,337.2,2013
Tennessee TitansTennessee,16,362,22.6,1894,118.4,3496,218.5,5390,336.9,2013
Oakland RaidersOakland,16,322,20.1,2000,125.0,3340,208.8,5340,333.8,2013
San Francisco 49ersSan Francisco,16,406,25.4,2201,137.6,2979,186.2,5180,323.8,2013
New York JetsNY Jets,16,290,18.1,2158,134.9,2932,183.2,5090,318.1,2013
Carolina PanthersCarolina,16,366,22.9,2026,126.6,3043,190.2,5069,316.8,2013
Miami DolphinsMiami,16,317,19.8,1440,90.0,3567,222.9,5007,312.9,2013
New York GiantsNY Giants,16,294,18.4,1332,83.2,3588,224.2,4920,307.5,2013
Baltimore RavensBaltimore,16,320,20.0,1328,83.0,3590,224.4,4918,307.4,2013
St. Louis RamsSt. Louis,16,348,21.8,1752,109.5,3125,195.3,4877,304.8,2013
Jacksonville JaguarsJacksonville,16,247,15.4,1260,78.8,3441,215.1,4701,293.8,2013
Tampa Bay BuccaneersTampa Bay,16,288,18.0,1612,100.8,2820,176.2,4432,277.0,2013
